"Race Statistics" ,"Number of Precincts" ,"NP" ,"Total" ,442 ,
"HOUSE DISTRICT 31" ,"Seaton, Paul" ,"DEM" ,"Total" ,2999 ,
"HOUSE DISTRICT 31" ,"Vance, Sarah L." ,"REP" ,"Total" ,4348 ,
"HOUSE DISTRICT 31" ,"Write-in" ,"NP" ,"Total" ,83 ,
"HOUSE DISTRICT 32" ,"Number of Precincts for Race" ,"NP" ,"Total" ,14 ,
"HOUSE DISTRICT 32" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,14 ,
"HOUSE DISTRICT 32" ,"Registered Voters" ,"NP" ,"Total" ,13565 ,
"HOUSE DISTRICT 32" ,"Times Counted" ,"NP" ,"Total" ,4785 ,
"HOUSE DISTRICT 32" ,"Katelnikoff-Lester" ,"NA" ,"Total" ,597 ,
"HOUSE DISTRICT 32" ,"Stutes, Louise" ,"REP" ,"Total" ,2512 ,
"HOUSE DISTRICT 32" ,"Harris, Dennis P." ,"DEM" ,"Total" ,1548 ,
"HOUSE DISTRICT 32" ,"Write-in" ,"NP" ,"Total" ,32 ,
"HOUSE DISTRICT 33" ,"Number of Precincts for Race" ,"NP" ,"Total" ,11 ,
"HOUSE DISTRICT 33" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,10 ,
"HOUSE DISTRICT 33" ,"Registered Voters" ,"NP" ,"Total" ,15936 ,
"HOUSE DISTRICT 33" ,"Times Counted" ,"NP" ,"Total" ,7900 ,
"HOUSE DISTRICT 33" ,"Hannan, Sara" ,"DEM" ,"Total" ,4259 ,
"HOUSE DISTRICT 33" ,"Dimond, Chris" ,"NA" ,"Total" ,3350 ,
"HOUSE DISTRICT 33" ,"Write-in" ,"NP" ,"Total" ,40 ,
"HOUSE DISTRICT 34" ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 34" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 34" ,"Registered Voters" ,"NP" ,"Total" ,15507 ,
"HOUSE DISTRICT 34" ,"Times Counted" ,"NP" ,"Total" ,8064 ,
"HOUSE DISTRICT 34" ,"Nankervis, Jerry A." ,"REP" ,"Total" ,3755 ,
"HOUSE DISTRICT 34" ,"Story, Andrea" ,"DEM" ,"Total" ,4215 ,
"HOUSE DISTRICT 34" ,"Write-in" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 35" ,"Number of Precincts for Race" ,"NP" ,"Total" ,13 ,
"HOUSE DISTRICT 35" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,8 ,
"HOUSE DISTRICT 35" ,"Registered Voters" ,"NP" ,"Total" ,15246 ,
"HOUSE DISTRICT 35" ,"Times Counted" ,"NP" ,"Total" ,2319 ,
"HOUSE DISTRICT 35" ,"Wein, Richard J." ,"REP" ,"Total" ,974 ,
"HOUSE DISTRICT 35" ,"Kreiss-Tomkins, Jona" ,"DEM" ,"Total" ,1276 ,
"HOUSE DISTRICT 35" ,"Write-in" ,"NP" ,"Total" ,20 ,
"HOUSE DISTRICT 36" ,"Number of Precincts for Race" ,"NP" ,"Total" ,10 ,
"HOUSE DISTRICT 36" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,8 ,
"HOUSE DISTRICT 36" ,"Registered Voters" ,"NP" ,"Total" ,14699 ,
"HOUSE DISTRICT 36" ,"Times Counted" ,"NP" ,"Total" ,5177 ,
"HOUSE DISTRICT 36" ,"Ortiz, Daniel H. " ,"NA" ,"Total" ,2929 ,
"HOUSE DISTRICT 36" ,"Shaw, Trevor A." ,"REP" ,"Total" ,2096 ,
"HOUSE DISTRICT 36" ,"Write-in" ,"NP" ,"Total" ,58 ,
"HOUSE DISTRICT 37" ,"Number of Precincts for Race" ,"NP" ,"Total" ,35 ,
"HOUSE DISTRICT 37" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,35 ,
"HOUSE DISTRICT 37" ,"Registered Voters" ,"NP" ,"Total" ,10478 ,
"HOUSE DISTRICT 37" ,"Times Counted" ,"NP" ,"Total" ,3795 ,
"HOUSE DISTRICT 37" ,"Weatherby, William W" ,"REP" ,"Total" ,1334 ,
"HOUSE DISTRICT 37" ,"Edgmon, Bryce E." ,"DEM" ,"Total" ,2361 ,
"HOUSE DISTRICT 37" ,"Write-in" ,"NP" ,"Total" ,12 ,
"HOUSE DISTRICT 38" ,"Number of Precincts for Race" ,"NP" ,"Total" ,31 ,
"HOUSE DISTRICT 38" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,31 ,
"HOUSE DISTRICT 38" ,"Registered Voters" ,"NP" ,"Total" ,11803 ,
"HOUSE DISTRICT 38" ,"Times Counted" ,"NP" ,"Total" ,4668 ,
"HOUSE DISTRICT 38" ,"Zulkosky, Tiffany" ,"DEM" ,"Total" ,2542 ,
"HOUSE DISTRICT 38" ,"Deacon, Darren M." ,"REP" ,"Total" ,2011 ,
"HOUSE DISTRICT 38" ,"Write-in" ,"NP" ,"Total" ,12 ,
"HOUSE DISTRICT 39" ,"Number of Precincts for Race" ,"NP" ,"Total" ,33 ,
"HOUSE DISTRICT 39" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,33 ,
"HOUSE DISTRICT 39" ,"Registered Voters" ,"NP" ,"Total" ,12164 ,
"HOUSE DISTRICT 39" ,"Times Counted" ,"NP" ,"Total" ,5164 ,
"HOUSE DISTRICT 39" ,"Foster, Neal W." ,"DEM" ,"Total" ,4533 ,
"HOUSE DISTRICT 39" ,"Write-in" ,"NP" ,"Total" ,199 ,
"HOUSE DISTRICT 40" ,"Number of Precincts for Race" ,"NP" ,"Total" ,23 ,
"HOUSE DISTRICT 40" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,23 ,
"HOUSE DISTRICT 40" ,"Registered Voters" ,"NP" ,"Total" ,9922 ,
"HOUSE DISTRICT 40" ,"Times Counted" ,"NP" ,"Total" ,3613 ,
"HOUSE DISTRICT 40" ,"Mack, Leanna R." ,"NA" ,"Total" ,640 ,
"HOUSE DISTRICT 40" ,"Savok, Patrick G. " ,"NA" ,"Total" ,778 ,
"HOUSE DISTRICT 40" ,"Lincoln, John" ,"DEM" ,"Total" ,2098 ,
"HOUSE DISTRICT 40" ,"Write-in 40" ,"NP" ,"Total" ,23 ,
"Ballot Measure No. 1 - 17FSH2" ,"Number of Precincts for Race" ,"NP" ,"Total" ,440 ,
"Ballot Measure No. 1 - 17FSH2" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,432 ,
"Ballot Measure No. 1 - 17FSH2" ,"Registered Voters" ,"NP" ,"Total" ,571320 ,
"Ballot Measure No. 1 - 17FSH2" ,"Times Counted" ,"NP" ,"Total" ,236923 ,
"Ballot Measure No. 1 - 17FSH2" ,"YES" ,"NP" ,"Total" ,83479 ,
"Ballot Measure No. 1 - 17FSH2" ,"NO" ,"NP" ,"Total" ,145997 ,
"Sup Court JD1 Carey" ,"Number of Precincts for Race" ,"NP" ,"Total" ,42 ,
"Sup Court JD1 Carey" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,34 ,
"Sup Court JD1 Carey" ,"Registered Voters" ,"NP" ,"Total" ,61859 ,
"Sup Court JD1 Carey" ,"Times Counted" ,"NP" ,"Total" ,23691 ,
"Sup Court JD1 Carey" ,"YES" ,"NP" ,"Total" ,14523 ,
"Sup Court JD1 Carey" ,"NO" ,"NP" ,"Total" ,5775 ,
"Sup Court JD3 Corey" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Corey" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Corey" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Sup Court JD3 Corey" ,"Times Counted" ,"NP" ,"Total" ,165121 ,
"Sup Court JD3 Corey" ,"YES" ,"NP" ,"Total" ,67415 ,
"Sup Court JD3 Corey" ,"NO" ,"NP" ,"Total" ,76684 ,
"Sup Court JD3 Morse" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Morse" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Morse" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Sup Court JD3 Morse" ,"Times Counted" ,"NP" ,"Total" ,165121 ,
"Sup Court JD3 Morse" ,"YES" ,"NP" ,"Total" ,77872 ,
"Sup Court JD3 Morse" ,"NO" ,"NP" ,"Total" ,62329 ,
"Sup Court JD3 Walker Jr. " ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Walker Jr. " ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Walker Jr. " ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Sup Court JD3 Walker Jr. " ,"Times Counted" ,"NP" ,"Total" ,165121 ,
"Sup Court JD3 Walker Jr. " ,"YES" ,"NP" ,"Total" ,79832 ,
"Sup Court JD3 Walker Jr. " ,"NO" ,"NP" ,"Total" ,59901 ,
"Sup Court JD3 Wolverton" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Wolverton" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Sup Court JD3 Wolverton" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Sup Court JD3 Wolverton" ,"Times Counted" ,"NP" ,"Total" ,165121 ,
"Sup Court JD3 Wolverton" ,"YES" ,"NP" ,"Total" ,79973 ,
"Sup Court JD3 Wolverton" ,"NO" ,"NP" ,"Total" ,57501 ,
"Sup Court JD4 Lyle" ,"Number of Precincts for Race" ,"NP" ,"Total" ,122 ,
"Sup Court JD4 Lyle" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,122 ,
"Sup Court JD4 Lyle" ,"Registered Voters" ,"NP" ,"Total" ,102417 ,
"Sup Court JD4 Lyle" ,"Times Counted" ,"NP" ,"Total" ,41737 ,
"Sup Court JD4 Lyle" ,"YES" ,"NP" ,"Total" ,24501 ,
"Sup Court JD4 Lyle" ,"NO" ,"NP" ,"Total" ,12905 ,
"Sup Court JD4 McConahy" ,"Number of Precincts for Race" ,"NP" ,"Total" ,122 ,
"Sup Court JD4 McConahy" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,122 ,
"Sup Court JD4 McConahy" ,"Registered Voters" ,"NP" ,"Total" ,102417 ,
"Sup Court JD4 McConahy" ,"Times Counted" ,"NP" ,"Total" ,41737 ,
"Sup Court JD4 McConahy" ,"YES" ,"NP" ,"Total" ,23920 ,
"Sup Court JD4 McConahy" ,"NO" ,"NP" ,"Total" ,13331 ,
"Dis Court JD1 Miller" ,"Number of Precincts for Race" ,"NP" ,"Total" ,42 ,
"Dis Court JD1 Miller" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,34 ,
"Dis Court JD1 Miller" ,"Registered Voters" ,"NP" ,"Total" ,61859 ,
"Dis Court JD1 Miller" ,"Times Counted" ,"NP" ,"Total" ,23691 ,
"Dis Court JD1 Miller" ,"YES" ,"NP" ,"Total" ,15511 ,
"Dis Court JD1 Miller" ,"NO" ,"NP" ,"Total" ,4808 ,
"Dis Court JD1 Swanson" ,"Number of Precincts for Race" ,"NP" ,"Total" ,42 ,
"Dis Court JD1 Swanson" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,34 ,
"Dis Court JD1 Swanson" ,"Registered Voters" ,"NP" ,"Total" ,61859 ,
"Dis Court JD1 Swanson" ,"Times Counted" ,"NP" ,"Total" ,23691 ,
"Dis Court JD1 Swanson" ,"YES" ,"NP" ,"Total" ,15339 ,
"Dis Court JD1 Swanson" ,"NO" ,"NP" ,"Total" ,4360 ,
"Dis Court JD3 Chung" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Chung" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Chung" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Dis Court JD3 Chung" ,"Times Counted" ,"NP" ,"Total" ,165121 ,
"Dis Court JD3 Chung" ,"YES" ,"NP" ,"Total" ,86332 ,
"Dis Court JD3 Chung" ,"NO" ,"NP" ,"Total" ,53060 ,
"Dis Court JD3 Clark" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Clark" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Clark" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Dis Court JD3 Clark" ,"Times Counted" ,"NP" ,"Total" ,165121 ,
"Dis Court JD3 Clark" ,"YES" ,"NP" ,"Total" ,82615 ,
"Dis Court JD3 Clark" ,"NO" ,"NP" ,"Total" ,55643 ,
"Dis Court JD3 Estelle" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Estelle" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Estelle" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Dis Court JD3 Estelle" ,"Times Counted" ,"NP" ,"Total" ,165121 ,
"Dis Court JD3 Estelle" ,"YES" ,"NP" ,"Total" ,80461 ,
"Dis Court JD3 Estelle" ,"NO" ,"NP" ,"Total" ,57801 ,
"Dis Court JD3 Illsley" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Illsley" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Illsley" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Dis Court JD3 Illsley" ,"Times Counted" ,"NP" ,"Total" ,165121 ,
"Dis Court JD3 Illsley" ,"YES" ,"NP" ,"Total" ,83794 ,
"Dis Court JD3 Illsley" ,"NO" ,"NP" ,"Total" ,55044 ,
"Dis Court JD3 Wolfe" ,"Number of Precincts for Race" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Wolfe" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,239 ,
"Dis Court JD3 Wolfe" ,"Registered Voters" ,"NP" ,"Total" ,390712 ,
"Dis Court JD3 Wolfe" ,"Times Counted" ,"NP" ,"Total" ,165121 ,
"Dis Court JD3 Wolfe" ,"YES" ,"NP" ,"Total" ,82056 ,
"Dis Court JD3 Wolfe" ,"NO" ,"NP" ,"Total" ,56405 ,
"Dis Court JD4 Seekins" ,"Number of Precincts for Race" ,"NP" ,"Total" ,122 ,
"Dis Court JD4 Seekins" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,122 ,
"Dis Court JD4 Seekins" ,"Registered Voters" ,"NP" ,"Total" ,102417 ,
"Dis Court JD4 Seekins" ,"Times Counted" ,"NP" ,"Total" ,41737 ,
"Dis Court JD4 Seekins" ,"YES" ,"NP" ,"Total" ,24716 ,
"Dis Court JD4 Seekins" ,"NO" ,"NP" ,"Total" ,12794 ,
