candidate,county,district name,party,race name,votes
Konstantinos Roditis,Santa Cruz,,REP,Controller,"12,211"
Betty T. Yee,Shasta,,DEM,Controller,"14,406"
Konstantinos Roditis,Shasta,,REP,Controller,"27,510"
Betty T. Yee,Sierra,,DEM,Controller,674
Konstantinos Roditis,Sierra,,REP,Controller,922
Betty T. Yee,Siskiyou,,DEM,Controller,"5,834"
Konstantinos Roditis,Siskiyou,,REP,Controller,"7,451"
Betty T. Yee,Solano,,DEM,Controller,"80,369"
Konstantinos Roditis,Solano,,REP,Controller,"42,873"
Betty T. Yee,Sonoma,,DEM,Controller,"95,452"
Konstantinos Roditis,Sonoma,,REP,Controller,"33,217"
Betty T. Yee,Stanislaus,,DEM,Controller,"39,717"
Konstantinos Roditis,Stanislaus,,REP,Controller,"38,070"
Betty T. Yee,Sutter,,DEM,Controller,"6,567"
Konstantinos Roditis,Sutter,,REP,Controller,"9,336"
Betty T. Yee,Tehama,,DEM,Controller,"4,822"
Konstantinos Roditis,Tehama,,REP,Controller,"9,316"
Betty T. Yee,Trinity,,DEM,Controller,"2,078"
Konstantinos Roditis,Trinity,,REP,Controller,"2,185"
Betty T. Yee,Tulare,,DEM,Controller,"24,211"
Konstantinos Roditis,Tulare,,REP,Controller,"30,189"
Betty T. Yee,Tuolumne,,DEM,Controller,"7,229"
Konstantinos Roditis,Tuolumne,,REP,Controller,"9,030"
Betty T. Yee,Ventura,,DEM,Controller,"109,875"
Konstantinos Roditis,Ventura,,REP,Controller,"85,351"
Betty T. Yee,Yolo,,DEM,Controller,"30,746"
Konstantinos Roditis,Yolo,,REP,Controller,"12,818"
Betty T. Yee,Yuba,,DEM,Controller,"4,337"
Konstantinos Roditis,Yuba,,REP,Controller,"6,551"
Fiona Ma,Statewide,,DEM,Treasurer,"4,317,927"
Greg Conlon,Statewide,,REP,Treasurer,"2,733,102"
Fiona Ma,Alameda,,DEM,Treasurer,"195,745"
Greg Conlon,Alameda,,REP,Treasurer,"51,053"
Fiona Ma,Alpine,,DEM,Treasurer,379
Greg Conlon,Alpine,,REP,Treasurer,198
Fiona Ma,Amador,,DEM,Treasurer,"5,966"
Greg Conlon,Amador,,REP,Treasurer,"9,243"
Fiona Ma,Butte,,DEM,Treasurer,"34,054"
Greg Conlon,Butte,,REP,Treasurer,"35,360"
Fiona Ma,Calaveras,,DEM,Treasurer,"6,304"
Greg Conlon,Calaveras,,REP,Treasurer,"9,565"
Fiona Ma,Colusa,,DEM,Treasurer,"1,846"
Greg Conlon,Colusa,,REP,Treasurer,"2,936"
Fiona Ma,Contra Costa,,DEM,Treasurer,"151,310"
Greg Conlon,Contra Costa,,REP,Treasurer,"72,188"
Fiona Ma,Del Norte,,DEM,Treasurer,"3,008"
Greg Conlon,Del Norte,,REP,Treasurer,"3,968"
Fiona Ma,El Dorado,,DEM,Treasurer,"27,306"
Greg Conlon,El Dorado,,REP,Treasurer,"35,618"
Fiona Ma,Fresno,,DEM,Treasurer,"70,634"
Greg Conlon,Fresno,,REP,Treasurer,"77,883"
Fiona Ma,Glenn,,DEM,Treasurer,"1,289"
Greg Conlon,Glenn,,REP,Treasurer,"2,683"
Fiona Ma,Humboldt,,DEM,Treasurer,"18,500"
Greg Conlon,Humboldt,,REP,Treasurer,"10,386"
Fiona Ma,Imperial,,DEM,Treasurer,"12,659"
Greg Conlon,Imperial,,REP,Treasurer,"7,311"
Fiona Ma,Inyo,,DEM,Treasurer,"2,196"
Greg Conlon,Inyo,,REP,Treasurer,"2,600"
Fiona Ma,Kern,,DEM,Treasurer,"50,909"
Greg Conlon,Kern,,REP,Treasurer,"78,783"
Fiona Ma,Kings,,DEM,Treasurer,"7,715"
Greg Conlon,Kings,,REP,Treasurer,"11,877"
Fiona Ma,Lake,,DEM,Treasurer,"7,174"
Greg Conlon,Lake,,REP,Treasurer,"5,999"
Fiona Ma,Lassen,,DEM,Treasurer,"2,090"
Greg Conlon,Lassen,,REP,Treasurer,"5,795"
Fiona Ma,Los Angeles,,DEM,Treasurer,"1,348,734"
Greg Conlon,Los Angeles,,REP,Treasurer,"534,144"
Fiona Ma,Madera,,DEM,Treasurer,"11,064"
Greg Conlon,Madera,,REP,Treasurer,"16,480"
Fiona Ma,Marin,,DEM,Treasurer,"57,011"
Greg Conlon,Marin,,REP,Treasurer,"16,316"
Fiona Ma,Mariposa,,DEM,Treasurer,"2,683"
Greg Conlon,Mariposa,,REP,Treasurer,"3,981"
Fiona Ma,Mendocino,,DEM,Treasurer,"10,240"
Greg Conlon,Mendocino,,REP,Treasurer,"5,121"
Fiona Ma,Merced,,DEM,Treasurer,"16,056"
Greg Conlon,Merced,,REP,Treasurer,"15,525"
Fiona Ma,Modoc,,DEM,Treasurer,868
Greg Conlon,Modoc,,REP,Treasurer,"2,343"
Fiona Ma,Mono,,DEM,Treasurer,"2,399"
Greg Conlon,Mono,,REP,Treasurer,"1,835"
Fiona Ma,Monterey,,DEM,Treasurer,"45,518"
Greg Conlon,Monterey,,REP,Treasurer,"23,823"
Fiona Ma,Napa,,DEM,Treasurer,"13,308"
Greg Conlon,Napa,,REP,Treasurer,"7,895"
Fiona Ma,Nevada,,DEM,Treasurer,"13,909"
Greg Conlon,Nevada,,REP,Treasurer,"12,391"
Fiona Ma,Orange,,DEM,Treasurer,"308,153"
Greg Conlon,Orange,,REP,Treasurer,"335,049"
Fiona Ma,Placer,,DEM,Treasurer,"40,516"
Greg Conlon,Placer,,REP,Treasurer,"53,236"
Fiona Ma,Plumas,,DEM,Treasurer,"3,286"
Greg Conlon,Plumas,,REP,Treasurer,"4,819"
Fiona Ma,Riverside,,DEM,Treasurer,"141,128"
Greg Conlon,Riverside,,REP,Treasurer,"149,241"
Fiona Ma,Sacramento,,DEM,Treasurer,"106,170"
Greg Conlon,Sacramento,,REP,Treasurer,"74,022"
Fiona Ma,San Benito,,DEM,Treasurer,"6,308"
Greg Conlon,San Benito,,REP,Treasurer,"4,793"
Fiona Ma,San Bernardino,,DEM,Treasurer,"161,105"
Greg Conlon,San Bernardino,,REP,Treasurer,"153,599"
Fiona Ma,San Diego,,DEM,Treasurer,"354,004"
Greg Conlon,San Diego,,REP,Treasurer,"285,764"
Fiona Ma,San Francisco,,DEM,Treasurer,"192,159"
Greg Conlon,San Francisco,,REP,Treasurer,"31,483"
Fiona Ma,San Joaquin,,DEM,Treasurer,"50,342"
Greg Conlon,San Joaquin,,REP,Treasurer,"45,583"
Fiona Ma,San Luis Obispo,,DEM,Treasurer,"41,050"
Greg Conlon,San Luis Obispo,,REP,Treasurer,"37,873"
Fiona Ma,San Mateo,,DEM,Treasurer,"66,709"
Greg Conlon,San Mateo,,REP,Treasurer,"24,253"
Fiona Ma,Santa Barbara,,DEM,Treasurer,"52,051"
Greg Conlon,Santa Barbara,,REP,Treasurer,"35,115"
Fiona Ma,Santa Clara,,DEM,Treasurer,"220,898"
Greg Conlon,Santa Clara,,REP,Treasurer,"94,305"
Fiona Ma,Santa Cruz,,DEM,Treasurer,"40,955"
Greg Conlon,Santa Cruz,,REP,Treasurer,"12,908"
Fiona Ma,Shasta,,DEM,Treasurer,"13,550"
Greg Conlon,Shasta,,REP,Treasurer,"28,320"
Fiona Ma,Sierra,,DEM,Treasurer,632
Greg Conlon,Sierra,,REP,Treasurer,963
Fiona Ma,Siskiyou,,DEM,Treasurer,"5,533"
Greg Conlon,Siskiyou,,REP,Treasurer,"7,734"
Fiona Ma,Solano,,DEM,Treasurer,"78,581"
Greg Conlon,Solano,,REP,Treasurer,"44,340"
Fiona Ma,Sonoma,,DEM,Treasurer,"93,342"
Greg Conlon,Sonoma,,REP,Treasurer,"34,987"
Fiona Ma,Stanislaus,,DEM,Treasurer,"38,039"
Greg Conlon,Stanislaus,,REP,Treasurer,"39,674"
Fiona Ma,Sutter,,DEM,Treasurer,"5,965"
Greg Conlon,Sutter,,REP,Treasurer,"9,902"
Fiona Ma,Tehama,,DEM,Treasurer,"4,473"
Greg Conlon,Tehama,,REP,Treasurer,"9,663"
Fiona Ma,Trinity,,DEM,Treasurer,"2,014"
Greg Conlon,Trinity,,REP,Treasurer,"2,262"
Fiona Ma,Tulare,,DEM,Treasurer,"22,456"
Greg Conlon,Tulare,,REP,Treasurer,"31,934"
Fiona Ma,Tuolumne,,DEM,Treasurer,"6,871"
Greg Conlon,Tuolumne,,REP,Treasurer,"9,384"
Fiona Ma,Ventura,,DEM,Treasurer,"107,019"
Greg Conlon,Ventura,,REP,Treasurer,"88,051"
Fiona Ma,Yolo,,DEM,Treasurer,"29,714"
Greg Conlon,Yolo,,REP,Treasurer,"13,673"
Fiona Ma,Yuba,,DEM,Treasurer,"4,030"
Greg Conlon,Yuba,,REP,Treasurer,"6,872"
Xavier Becerra,Statewide,,DEM,Attorney General,"4,303,102"
Steven C Bailey,Statewide,,REP,Attorney General,"2,779,103"
Xavier Becerra,Alameda,,DEM,Attorney General,"193,507"
Steven C Bailey,Alameda,,REP,Attorney General,"52,894"
Xavier Becerra,Alpine,,DEM,Attorney General,375
Steven C Bailey,Alpine,,REP,Attorney General,205
Xavier Becerra,Amador,,DEM,Attorney General,"5,646"
Steven C Bailey,Amador,,REP,Attorney General,"9,631"
Xavier Becerra,Butte,,DEM,Attorney General,"33,236"
Steven C Bailey,Butte,,REP,Attorney General,"36,454"
Xavier Becerra,Calaveras,,DEM,Attorney General,"6,093"
Steven C Bailey,Calaveras,,REP,Attorney General,"9,774"
Xavier Becerra,Colusa,,DEM,Attorney General,"1,820"
Steven C Bailey,Colusa,,REP,Attorney General,"2,983"
Xavier Becerra,Contra Costa,,DEM,Attorney General,"148,642"
Steven C Bailey,Contra Costa,,REP,Attorney General,"75,278"
Xavier Becerra,Del Norte,,DEM,Attorney General,"2,923"
Steven C Bailey,Del Norte,,REP,Attorney General,"4,064"
Xavier Becerra,El Dorado,,DEM,Attorney General,"26,346"
Steven C Bailey,El Dorado,,REP,Attorney General,"36,791"
Xavier Becerra,Fresno,,DEM,Attorney General,"71,203"
Steven C Bailey,Fresno,,REP,Attorney General,"79,181"
Xavier Becerra,Glenn,,DEM,Attorney General,"1,243"
Steven C Bailey,Glenn,,REP,Attorney General,"2,769"
Xavier Becerra,Humboldt,,DEM,Attorney General,"18,189"
Steven C Bailey,Humboldt,,REP,Attorney General,"10,792"
Xavier Becerra,Imperial,,DEM,Attorney General,"12,859"
Steven C Bailey,Imperial,,REP,Attorney General,"7,198"
Xavier Becerra,Inyo,,DEM,Attorney General,"2,164"
Steven C Bailey,Inyo,,REP,Attorney General,"2,649"
Xavier Becerra,Kern,,DEM,Attorney General,"49,660"
Steven C Bailey,Kern,,REP,Attorney General,"80,568"
Xavier Becerra,Kings,,DEM,Attorney General,"7,591"
Steven C Bailey,Kings,,REP,Attorney General,"12,025"
Xavier Becerra,Lake,,DEM,Attorney General,"6,952"
Steven C Bailey,Lake,,REP,Attorney General,"6,226"
Xavier Becerra,Lassen,,DEM,Attorney General,"1,897"
Steven C Bailey,Lassen,,REP,Attorney General,"6,036"
Xavier Becerra,Los Angeles,,DEM,Attorney General,"1,359,150"
Steven C Bailey,Los Angeles,,REP,Attorney General,"536,103"
Xavier Becerra,Madera,,DEM,Attorney General,"10,892"
Steven C Bailey,Madera,,REP,Attorney General,"16,717"
Xavier Becerra,Marin,,DEM,Attorney General,"57,215"
Steven C Bailey,Marin,,REP,Attorney General,"16,349"
Xavier Becerra,Mariposa,,DEM,Attorney General,"2,597"
Steven C Bailey,Mariposa,,REP,Attorney General,"4,087"
Xavier Becerra,Mendocino,,DEM,Attorney General,"10,033"
Steven C Bailey,Mendocino,,REP,Attorney General,"5,322"
Xavier Becerra,Merced,,DEM,Attorney General,"16,041"
Steven C Bailey,Merced,,REP,Attorney General,"15,719"
Xavier Becerra,Modoc,,DEM,Attorney General,832
Steven C Bailey,Modoc,,REP,Attorney General,"2,405"
Xavier Becerra,Mono,,DEM,Attorney General,"2,396"
Steven C Bailey,Mono,,REP,Attorney General,"1,850"
Xavier Becerra,Monterey,,DEM,Attorney General,"44,755"
Steven C Bailey,Monterey,,REP,Attorney General,"24,689"
Xavier Becerra,Napa,,DEM,Attorney General,"13,104"
Steven C Bailey,Napa,,REP,Attorney General,"8,123"
Xavier Becerra,Nevada,,DEM,Attorney General,"13,730"
Steven C Bailey,Nevada,,REP,Attorney General,"12,658"
Xavier Becerra,Orange,,DEM,Attorney General,"308,839"
Steven C Bailey,Orange,,REP,Attorney General,"337,075"
Xavier Becerra,Placer,,DEM,Attorney General,"39,293"
Steven C Bailey,Placer,,REP,Attorney General,"54,810"
Xavier Becerra,Plumas,,DEM,Attorney General,"3,132"
Steven C Bailey,Plumas,,REP,Attorney General,"4,992"
Xavier Becerra,Riverside,,DEM,Attorney General,"140,933"
Steven C Bailey,Riverside,,REP,Attorney General,"151,036"
Xavier Becerra,Sacramento,,DEM,Attorney General,"104,170"
Steven C Bailey,Sacramento,,REP,Attorney General,"77,447"
Xavier Becerra,San Benito,,DEM,Attorney General,"6,234"
Steven C Bailey,San Benito,,REP,Attorney General,"4,905"
Xavier Becerra,San Bernardino,,DEM,Attorney General,"160,315"
Steven C Bailey,San Bernardino,,REP,Attorney General,"155,246"
Xavier Becerra,San Diego,,DEM,Attorney General,"354,941"
Steven C Bailey,San Diego,,REP,Attorney General,"288,563"
Xavier Becerra,San Francisco,,DEM,Attorney General,"190,447"
Steven C Bailey,San Francisco,,REP,Attorney General,"32,975"
Xavier Becerra,San Joaquin,,DEM,Attorney General,"49,147"
Steven C Bailey,San Joaquin,,REP,Attorney General,"47,336"
Xavier Becerra,San Luis Obispo,,DEM,Attorney General,"40,474"
Steven C Bailey,San Luis Obispo,,REP,Attorney General,"38,733"
Xavier Becerra,San Mateo,,DEM,Attorney General,"66,224"
Steven C Bailey,San Mateo,,REP,Attorney General,"24,832"
Xavier Becerra,Santa Barbara,,DEM,Attorney General,"51,912"
Steven C Bailey,Santa Barbara,,REP,Attorney General,"35,728"
Xavier Becerra,Santa Clara,,DEM,Attorney General,"218,416"
Steven C Bailey,Santa Clara,,REP,Attorney General,"96,804"
Xavier Becerra,Santa Cruz,,DEM,Attorney General,"40,903"
Steven C Bailey,Santa Cruz,,REP,Attorney General,"13,225"
Xavier Becerra,Shasta,,DEM,Attorney General,"12,837"
Steven C Bailey,Shasta,,REP,Attorney General,"29,119"
Xavier Becerra,Sierra,,DEM,Attorney General,608
Steven C Bailey,Sierra,,REP,Attorney General,993
Xavier Becerra,Siskiyou,,DEM,Attorney General,"5,393"
Steven C Bailey,Siskiyou,,REP,Attorney General,"7,918"
Xavier Becerra,Solano,,DEM,Attorney General,"76,681"
Steven C Bailey,Solano,,REP,Attorney General,"46,504"
Xavier Becerra,Sonoma,,DEM,Attorney General,"92,822"
Steven C Bailey,Sonoma,,REP,Attorney General,"35,922"
Xavier Becerra,Stanislaus,,DEM,Attorney General,"37,422"
Steven C Bailey,Stanislaus,,REP,Attorney General,"40,532"
Xavier Becerra,Sutter,,DEM,Attorney General,"5,836"
Steven C Bailey,Sutter,,REP,Attorney General,"10,153"
Xavier Becerra,Tehama,,DEM,Attorney General,"4,218"
Steven C Bailey,Tehama,,REP,Attorney General,"9,952"
Xavier Becerra,Trinity,,DEM,Attorney General,"1,903"
Steven C Bailey,Trinity,,REP,Attorney General,"2,381"
Xavier Becerra,Tulare,,DEM,Attorney General,"22,146"
Steven C Bailey,Tulare,,REP,Attorney General,"32,345"
Xavier Becerra,Tuolumne,,DEM,Attorney General,"6,531"
Steven C Bailey,Tuolumne,,REP,Attorney General,"9,637"
Xavier Becerra,Ventura,,DEM,Attorney General,"107,049"
Steven C Bailey,Ventura,,REP,Attorney General,"89,102"
Xavier Becerra,Yolo,,DEM,Attorney General,"29,296"
Steven C Bailey,Yolo,,REP,Attorney General,"14,260"
Xavier Becerra,Yuba,,DEM,Attorney General,"3,889"
Steven C Bailey,Yuba,,REP,Attorney General,"7,038"
Ricardo Lara,Statewide,,DEM,Insurance Commissioner,"3,426,273"
Steve Poizner,Statewide,,NPP,Insurance Commissioner,"3,315,834"
Ricardo Lara,Alameda,,DEM,Insurance Commissioner,"151,731"
Steve Poizner,Alameda,,NPP,Insurance Commissioner,"87,266"
Ricardo Lara,Alpine,,DEM,Insurance Commissioner,291
Steve Poizner,Alpine,,NPP,Insurance Commissioner,264
Ricardo Lara,Amador,,DEM,Insurance Commissioner,"4,197"
Steve Poizner,Amador,,NPP,Insurance Commissioner,"10,244"
Ricardo Lara,Butte,,DEM,Insurance Commissioner,"26,876"
Steve Poizner,Butte,,NPP,Insurance Commissioner,"38,912"
Ricardo Lara,Calaveras,,DEM,Insurance Commissioner,"4,548"
Steve Poizner,Calaveras,,NPP,Insurance Commissioner,"10,409"
Ricardo Lara,Colusa,,DEM,Insurance Commissioner,"1,606"
Steve Poizner,Colusa,,NPP,Insurance Commissioner,"2,854"
Ricardo Lara,Contra Costa,,DEM,Insurance Commissioner,"110,173"
Steve Poizner,Contra Costa,,NPP,Insurance Commissioner,"108,620"
Ricardo Lara,Del Norte,,DEM,Insurance Commissioner,"2,514"
Steve Poizner,Del Norte,,NPP,Insurance Commissioner,"4,226"
Ricardo Lara,El Dorado,,DEM,Insurance Commissioner,"20,027"
Steve Poizner,El Dorado,,NPP,Insurance Commissioner,"39,086"
Ricardo Lara,Fresno,,DEM,Insurance Commissioner,"64,546"
Steve Poizner,Fresno,,NPP,Insurance Commissioner,"77,852"
Ricardo Lara,Glenn,,DEM,Insurance Commissioner,"1,080"
Steve Poizner,Glenn,,NPP,Insurance Commissioner,"2,656"
Ricardo Lara,Humboldt,,DEM,Insurance Commissioner,"14,830"
Steve Poizner,Humboldt,,NPP,Insurance Commissioner,"12,606"
Ricardo Lara,Imperial,,DEM,Insurance Commissioner,"12,444"
Steve Poizner,Imperial,,NPP,Insurance Commissioner,"7,089"
Ricardo Lara,Inyo,,DEM,Insurance Commissioner,"1,689"
Steve Poizner,Inyo,,NPP,Insurance Commissioner,"2,774"
Ricardo Lara,Kern,,DEM,Insurance Commissioner,"43,423"
Steve Poizner,Kern,,NPP,Insurance Commissioner,"81,669"
Ricardo Lara,Kings,,DEM,Insurance Commissioner,"6,976"
Steve Poizner,Kings,,NPP,Insurance Commissioner,"11,559"
Ricardo Lara,Lake,,DEM,Insurance Commissioner,"5,496"
Steve Poizner,Lake,,NPP,Insurance Commissioner,"7,190"
Ricardo Lara,Lassen,,DEM,Insurance Commissioner,"1,846"
Steve Poizner,Lassen,,NPP,Insurance Commissioner,"5,477"
Ricardo Lara,Los Angeles,,DEM,Insurance Commissioner,"1,076,352"
Steve Poizner,Los Angeles,,NPP,Insurance Commissioner,"707,310"
Ricardo Lara,Madera,,DEM,Insurance Commissioner,"9,561"
Steve Poizner,Madera,,NPP,Insurance Commissioner,"16,746"
Ricardo Lara,Marin,,DEM,Insurance Commissioner,"39,746"
Steve Poizner,Marin,,NPP,Insurance Commissioner,"30,177"
Ricardo Lara,Mariposa,,DEM,Insurance Commissioner,"2,103"
Steve Poizner,Mariposa,,NPP,Insurance Commissioner,"4,183"
Ricardo Lara,Mendocino,,DEM,Insurance Commissioner,"8,019"
Steve Poizner,Mendocino,,NPP,Insurance Commissioner,"6,611"
Ricardo Lara,Merced,,DEM,Insurance Commissioner,"14,448"
Steve Poizner,Merced,,NPP,Insurance Commissioner,"15,872"
Ricardo Lara,Modoc,,DEM,Insurance Commissioner,754
Steve Poizner,Modoc,,NPP,Insurance Commissioner,"2,153"
Ricardo Lara,Mono,,DEM,Insurance Commissioner,"1,794"
Steve Poizner,Mono,,NPP,Insurance Commissioner,"2,193"
Ricardo Lara,Monterey,,DEM,Insurance Commissioner,"37,804"
Steve Poizner,Monterey,,NPP,Insurance Commissioner,"29,576"
Ricardo Lara,Napa,,DEM,Insurance Commissioner,"9,519"
Steve Poizner,Napa,,NPP,Insurance Commissioner,"10,902"
Ricardo Lara,Nevada,,DEM,Insurance Commissioner,"10,813"
Steve Poizner,Nevada,,NPP,Insurance Commissioner,"14,268"
Ricardo Lara,Orange,,DEM,Insurance Commissioner,"243,603"
Steve Poizner,Orange,,NPP,Insurance Commissioner,"369,779"
Ricardo Lara,Placer,,DEM,Insurance Commissioner,"29,418"
Steve Poizner,Placer,,NPP,Insurance Commissioner,"58,741"
Ricardo Lara,Plumas,,DEM,Insurance Commissioner,"2,536"
Steve Poizner,Plumas,,NPP,Insurance Commissioner,"4,801"
Ricardo Lara,Riverside,,DEM,Insurance Commissioner,"121,667"
Steve Poizner,Riverside,,NPP,Insurance Commissioner,"156,180"
Ricardo Lara,Sacramento,,DEM,Insurance Commissioner,"80,454"
Steve Poizner,Sacramento,,NPP,Insurance Commissioner,"93,220"
Ricardo Lara,San Benito,,DEM,Insurance Commissioner,"5,251"
Steve Poizner,San Benito,,NPP,Insurance Commissioner,"5,516"
Ricardo Lara,San Bernardino,,DEM,Insurance Commissioner,"136,705"
Steve Poizner,San Bernardino,,NPP,Insurance Commissioner,"168,233"
Ricardo Lara,San Diego,,DEM,Insurance Commissioner,"292,841"
Steve Poizner,San Diego,,NPP,Insurance Commissioner,"315,897"
Ricardo Lara,San Francisco,,DEM,Insurance Commissioner,"147,584"
Steve Poizner,San Francisco,,NPP,Insurance Commissioner,"67,033"
Ricardo Lara,San Joaquin,,DEM,Insurance Commissioner,"42,933"
Steve Poizner,San Joaquin,,NPP,Insurance Commissioner,"49,797"
Ricardo Lara,San Luis Obispo,,DEM,Insurance Commissioner,"31,467"
Steve Poizner,San Luis Obispo,,NPP,Insurance Commissioner,"43,499"
Ricardo Lara,San Mateo,,DEM,Insurance Commissioner,"47,862"
Steve Poizner,San Mateo,,NPP,Insurance Commissioner,"40,429"
Ricardo Lara,Santa Barbara,,DEM,Insurance Commissioner,"42,614"
Steve Poizner,Santa Barbara,,NPP,Insurance Commissioner,"41,202"
Ricardo Lara,Santa Clara,,DEM,Insurance Commissioner,"158,699"
Steve Poizner,Santa Clara,,NPP,Insurance Commissioner,"145,438"
Ricardo Lara,Santa Cruz,,DEM,Insurance Commissioner,"32,443"
Steve Poizner,Santa Cruz,,NPP,Insurance Commissioner,"19,469"
Ricardo Lara,Shasta,,DEM,Insurance Commissioner,"10,699"
Steve Poizner,Shasta,,NPP,Insurance Commissioner,"29,088"
Ricardo Lara,Sierra,,DEM,Insurance Commissioner,478
Steve Poizner,Sierra,,NPP,Insurance Commissioner,"1,041"
Ricardo Lara,Siskiyou,,DEM,Insurance Commissioner,"4,357"
Steve Poizner,Siskiyou,,NPP,Insurance Commissioner,"8,202"
Ricardo Lara,Solano,,DEM,Insurance Commissioner,"62,822"
Steve Poizner,Solano,,NPP,Insurance Commissioner,"56,464"
Ricardo Lara,Sonoma,,DEM,Insurance Commissioner,"69,954"
Steve Poizner,Sonoma,,NPP,Insurance Commissioner,"54,078"
Ricardo Lara,Stanislaus,,DEM,Insurance Commissioner,"31,220"
Steve Poizner,Stanislaus,,NPP,Insurance Commissioner,"43,303"
Ricardo Lara,Sutter,,DEM,Insurance Commissioner,"5,001"
Steve Poizner,Sutter,,NPP,Insurance Commissioner,"10,175"
Ricardo Lara,Tehama,,DEM,Insurance Commissioner,"3,664"
Steve Poizner,Tehama,,NPP,Insurance Commissioner,"9,635"
Ricardo Lara,Trinity,,DEM,Insurance Commissioner,"1,592"
Steve Poizner,Trinity,,NPP,Insurance Commissioner,"2,425"
Ricardo Lara,Tulare,,DEM,Insurance Commissioner,"19,960"
Steve Poizner,Tulare,,NPP,Insurance Commissioner,"31,769"
Ricardo Lara,Tuolumne,,DEM,Insurance Commissioner,"5,035"
Steve Poizner,Tuolumne,,NPP,Insurance Commissioner,"10,159"
Ricardo Lara,Ventura,,DEM,Insurance Commissioner,"84,561"
Steve Poizner,Ventura,,NPP,Insurance Commissioner,"103,179"
Ricardo Lara,Yolo,,DEM,Insurance Commissioner,"22,276"
Steve Poizner,Yolo,,NPP,Insurance Commissioner,"19,362"
Ricardo Lara,Yuba,,DEM,Insurance Commissioner,"3,371"
Steve Poizner,Yuba,,NPP,Insurance Commissioner,"6,976"
Tony K. Thurmond,Statewide,,,Superintendent of Public Instruction,"3,034,737"
Marshall Tuck,Statewide,,,Superintendent of Public Instruction,"3,116,098"
Tony K. Thurmond,Alameda,,,Superintendent of Public Instruction,"140,918"
Marshall Tuck,Alameda,,,Superintendent of Public Instruction,"75,523"
Tony K. Thurmond,Alpine,,,Superintendent of Public Instruction,259
Marshall Tuck,Alpine,,,Superintendent of Public Instruction,209
Tony K. Thurmond,Amador,,,Superintendent of Public Instruction,"4,858"
Marshall Tuck,Amador,,,Superintendent of Public Instruction,"8,604"
Tony K. Thurmond,Butte,,,Superintendent of Public Instruction,"25,464"
Marshall Tuck,Butte,,,Superintendent of Public Instruction,"35,259"
Tony K. Thurmond,Calaveras,,,Superintendent of Public Instruction,"4,957"
Marshall Tuck,Calaveras,,,Superintendent of Public Instruction,"8,698"
Tony K. Thurmond,Colusa,,,Superintendent of Public Instruction,"1,402"
Marshall Tuck,Colusa,,,Superintendent of Public Instruction,"2,639"
Tony K. Thurmond,Contra Costa,,,Superintendent of Public Instruction,"118,662"
Marshall Tuck,Contra Costa,,,Superintendent of Public Instruction,"92,194"
Tony K. Thurmond,Del Norte,,,Superintendent of Public Instruction,"2,453"
Marshall Tuck,Del Norte,,,Superintendent of Public Instruction,"3,145"
Tony K. Thurmond,El Dorado,,,Superintendent of Public Instruction,"20,894"
Marshall Tuck,El Dorado,,,Superintendent of Public Instruction,"32,781"
Tony K. Thurmond,Fresno,,,Superintendent of Public Instruction,"47,417"
Marshall Tuck,Fresno,,,Superintendent of Public Instruction,"86,319"
Tony K. Thurmond,Glenn,,,Superintendent of Public Instruction,"1,063"
Marshall Tuck,Glenn,,,Superintendent of Public Instruction,"2,464"
Tony K. Thurmond,Humboldt,,,Superintendent of Public Instruction,"13,453"
Marshall Tuck,Humboldt,,,Superintendent of Public Instruction,"10,447"
Tony K. Thurmond,Imperial,,,Superintendent of Public Instruction,"7,892"
Marshall Tuck,Imperial,,,Superintendent of Public Instruction,"9,689"
Tony K. Thurmond,Inyo,,,Superintendent of Public Instruction,"1,743"
Marshall Tuck,Inyo,,,Superintendent of Public Instruction,"2,250"
Tony K. Thurmond,Kern,,,Superintendent of Public Instruction,"41,503"
Marshall Tuck,Kern,,,Superintendent of Public Instruction,"77,299"
Tony K. Thurmond,Kings,,,Superintendent of Public Instruction,"5,310"
Marshall Tuck,Kings,,,Superintendent of Public Instruction,"11,685"
Tony K. Thurmond,Lake,,,Superintendent of Public Instruction,"5,988"
Marshall Tuck,Lake,,,Superintendent of Public Instruction,"5,858"
Tony K. Thurmond,Lassen,,,Superintendent of Public Instruction,"2,076"
Marshall Tuck,Lassen,,,Superintendent of Public Instruction,"4,548"
Tony K. Thurmond,Los Angeles,,,Superintendent of Public Instruction,"919,011"
Marshall Tuck,Los Angeles,,,Superintendent of Public Instruction,"740,448"
Tony K. Thurmond,Madera,,,Superintendent of Public Instruction,"8,091"
Marshall Tuck,Madera,,,Superintendent of Public Instruction,"16,012"
Tony K. Thurmond,Marin,,,Superintendent of Public Instruction,"41,714"
Marshall Tuck,Marin,,,Superintendent of Public Instruction,"22,693"
Tony K. Thurmond,Mariposa,,,Superintendent of Public Instruction,"2,086"
Marshall Tuck,Mariposa,,,Superintendent of Public Instruction,"3,560"
Tony K. Thurmond,Mendocino,,,Superintendent of Public Instruction,"8,149"
Marshall Tuck,Mendocino,,,Superintendent of Public Instruction,"5,479"
Tony K. Thurmond,Merced,,,Superintendent of Public Instruction,"10,724"
Marshall Tuck,Merced,,,Superintendent of Public Instruction,"17,119"
Tony K. Thurmond,Modoc,,,Superintendent of Public Instruction,816
Marshall Tuck,Modoc,,,Superintendent of Public Instruction,"1,991"
