County,Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
Grant,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),5811,28.7759,Federal
Grant,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),14383,71.2241,Federal
Grant,Congressional District 4 U.S. Representative,Dan Newhouse,(Prefers Republican Party),15109,75.0832,Congressional
Grant,Congressional District 4 U.S. Representative,Christine Brown,(Prefers Democratic Party),5014,24.9168,Congressional
Grant,Legislative District 12 State Representative Pos. 1,Keith Goehner,(Prefers Republican Party),1416,64.2468,Legislative
Grant,Legislative District 12 State Representative Pos. 1,Ann Diamond,(States No Party Preference),788,35.7532,Legislative
Grant,Legislative District 12 State Representative Pos. 2,Mike Steele,(Prefers Republican Party),1600,72.1696,Legislative
Grant,Legislative District 12 State Representative Pos. 2,Valerie Sarratt,(Prefers Democratic Party),617,27.8304,Legislative
Grant,Legislative District 13 State Senator,Judy Warnick,(Prefers Republican Party),14852,100,Legislative
Grant,Legislative District 13 State Representative Pos. 1,Tom Dent,(Prefers Republican Party),13959,78.6068,Legislative
Grant,Legislative District 13 State Representative Pos. 1,Jesse Hegstrom Oakey,(Prefers Democratic Party),3799,21.3932,Legislative
Grant,Legislative District 13 State Representative Pos. 2,Matt Manweller,(Prefers Republican Party),11856,67.5171,Legislative
Grant,Legislative District 13 State Representative Pos. 2,Sylvia Hammond,(Prefers Democratic Party),5704,32.4829,Legislative
Grant,Grant COUNTY ASSESSOR,Melissa McKnight,(Prefers Republican Party),11114,61.6965,County
Grant,Grant COUNTY ASSESSOR,Scott G Schmig,(Prefers Republican Party),6900,38.3035,County
Grant,Grant COUNTY AUDITOR,Michele Jaderlund,(Prefers Republican Party),11995,67.1124,County
Grant,Grant COUNTY AUDITOR,James (Jim) Liebrecht,(Prefers Republican Party),5878,32.8876,County
Grant,Grant COUNTY CLERK,Kimberly A Allen,(Prefers Republican Party),15835,100,County
Grant,Grant District Court Judge 3 ,Tyson R. Hill,,13658,100,County
Grant,Grant COUNTY COMMISSIONER #03,Cindy Carter,(Prefers Republican Party),9445,52.8392,County
Grant,Grant COUNTY COMMISSIONER #03,Jeff Foster ,(Prefers Republican Party),8430,47.1608,County
Grant,Grant COUNTY CORONER,Craig Morrison,(Prefers Republican Party),15992,100,County
Grant,Grant COUNTY PROSECUTOR,Garth Dano,(Prefers Republican Party),15548,100,County
Grant,Grant COUNTY SHERIFF,Tom Jones,(Prefers Republican Party),16651,83.6944,County
Grant,Grant COUNTY SHERIFF,Myriam Villagran Diaz,(Prefers Democrat Party),3244,16.3056,County
Grant,Grant COUNTY TREASURER,Darryl Pheasant,(Prefers Non Partisan Party),10055,52.1282,County
Grant,Grant COUNTY TREASURER,Casey Cooper,(Prefers Republican Party),9234,47.8718,County
Grant,Grant DISTRICT COURT JUDGE #01,Brian Barlow,,14111,100,County
Grant,Grant DISTRICT COURT JUDGE #02,Janis Whitener-Moberg,,14645,100,County
Grant,Supreme Court Justice Position 2,Susan Owens,,14339,100,Judicial
Grant,Supreme Court Justice Position 8,Nathan Choi,,7815,47.5567,Judicial
Grant,Supreme Court Justice Position 8,Steve Gonzalez,,8618,52.4433,Judicial
Grant,Supreme Court Justice Position 9,Sheryl Gordon McCloud,,13958,100,Judicial
Grant,Grant County PUD All Commissioner Distict 1,Judy Wilson,,9946,54.7476,Public Utility
Grant,Grant County PUD All Commissioner Distict 1,Terry Brewer,,8221,45.2524,Public Utility
Grant,Grant County PUD All Commissioner Distict B,Patti Paris,,8845,48.5909,Public Utility
Grant,Grant County PUD All Commissioner Distict B,Nelson Cox,,9358,51.4091,Public Utility
Grant,Wilson Creek Cemetery Dist #2 Proposition No. 1 SPECIAL ONE YEAR MAINTENANCE AND OPERATION LEVY,LEVY...YES,,91,73.3871,Cemetery
Grant,Wilson Creek Cemetery Dist #2 Proposition No. 1 SPECIAL ONE YEAR MAINTENANCE AND OPERATION LEVY,LEVY...NO,,33,26.6129,Cemetery
Grays Harbor,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,,6209,29.0575,State Executive
Grays Harbor,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,,15159,70.9425,State Executive
Grays Harbor,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,,14402,66.565,State Executive
Grays Harbor,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,,7234,33.435,State Executive
Grays Harbor,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,,9299,42.9039,State Executive
Grays Harbor,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,,12375,57.0961,State Executive
Grays Harbor,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,,10582,48.9998,State Executive
Grays Harbor,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,,11014,51.0002,State Executive
Grays Harbor,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,,13757,66.6424,State Executive
Grays Harbor,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,,6886,33.3576,State Executive
Grays Harbor,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),10317,47.8325,Federal
Grays Harbor,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),11252,52.1675,Federal
Grays Harbor,Congressional District 6 U.S. Representative,Derek Kilmer,(Prefers Democratic Party),11700,54.6627,Congressional
Grays Harbor,Congressional District 6 U.S. Representative,Douglas Dightman,(Prefers Republican Party),9704,45.3373,Congressional
Grays Harbor,Legislative District 19 State Representative Pos. 1,Jim Walsh,(Prefers Republican Party),4766,48.6823,Legislative
Grays Harbor,Legislative District 19 State Representative Pos. 1,Erin Frasier,(Prefers Democratic Party),5024,51.3177,Legislative
Grays Harbor,Legislative District 19 State Representative Pos. 2,Brian E. Blake,(Prefers Democratic Party),5663,58.0166,Legislative
Grays Harbor,Legislative District 19 State Representative Pos. 2,Joel McEntire,(Prefers Republican Party),4098,41.9834,Legislative
Grays Harbor,Legislative District 24 State Representative Pos. 1,Mike Chapman,(Prefers Democratic Party),5702,49.3167,Legislative
Grays Harbor,Legislative District 24 State Representative Pos. 1,Jodi Wilke,(Prefers Republican Party),5860,50.6833,Legislative
Grays Harbor,Legislative District 24 State Representative Pos. 2,Steve Tharinger,(Prefers Democratic Party),5495,48.008,Legislative
Grays Harbor,Legislative District 24 State Representative Pos. 2,Jim McEntire,(Prefers Republican Party),5951,51.992,Legislative
Grays Harbor,Grays Harbor - ALL Commissioner #3,Vickie L. Raines,(States No Party Preference),14914,100,County
Grays Harbor,Grays Harbor - ALL Assessor,Dan Lindgren,(Prefers Democrat Party),14231,100,County
Grays Harbor,Grays Harbor - ALL Auditor,Joe MacLean,(Prefers Republican Party),10506,50.6557,County
Grays Harbor,Grays Harbor - ALL Auditor,Chris Thomas,(Prefers Democrat Party),10234,49.3443,County
Grays Harbor,Grays Harbor - ALL Clerk,Kimberly R Foster,(Prefers Democratic Party),10132,50.7997,County
Grays Harbor,Grays Harbor - ALL Clerk,Janice Louthan,(Prefers Non Partisan Party),9813,49.2003,County
Grays Harbor,Grays Harbor - ALL Coroner,Robert G. Kegel,(Prefers Democratic Party),14347,100,County
Grays Harbor,Grays Harbor - ALL Prosecutor,Katie Svoboda,(Prefers Democratic Party),14076,100,County
Grays Harbor,Grays Harbor - ALL Sheriff,Richard Scott,(States No Party Preference),15906,100,County
Grays Harbor,Grays Harbor - ALL Treasurer,Kenneth Albert,(Prefers Democrat Party),13964,100,County
Grays Harbor,Grays Harbor - ALL District Court #1,Kyle L. Imler,,14037,100,County
Grays Harbor,Grays Harbor - ALL District Court #2,Tom Copland,,14191,100,County
Grays Harbor,Supreme Court Justice Position 2,Susan Owens,,14175,100,Judicial
Grays Harbor,Supreme Court Justice Position 8,Nathan Choi,,6828,39.9438,Judicial
Grays Harbor,Supreme Court Justice Position 8,Steve Gonzalez,,10266,60.0562,Judicial
Grays Harbor,Supreme Court Justice Position 9,Sheryl Gordon McCloud,,13863,100,Judicial
Grays Harbor,"Court of Appeals, Division 2, District 2 Judge Position 2",Rebecca Glasgow,,13807,100,Judicial
Grays Harbor,Grays Harbor Superior Court Judge Position 3,Ray Kahler,,9314,50.0537,Judicial
Grays Harbor,Grays Harbor Superior Court Judge Position 3,David Mistachkin,,9294,49.9463,Judicial
Grays Harbor,PUD District PUD Comm (1),Allen Werth,,5793,35.4052,Public Utility
Grays Harbor,PUD District PUD Comm (1),Arie Callaghan,,10569,64.5948,Public Utility
Grays Harbor,"Sch Dist 28 - Hoquiam HOQUIAM SCHOOL DISTRICT NO. 28 BONDS TO RENOVATE, MODERNIZE AND IMPROVE SCHOOL FACILITIES ",Approved,,1851,68.1517,School
Grays Harbor,"Sch Dist 28 - Hoquiam HOQUIAM SCHOOL DISTRICT NO. 28 BONDS TO RENOVATE, MODERNIZE AND IMPROVE SCHOOL FACILITIES ",Rejected,,865,31.8483,School
Grays Harbor,Fire District 15 Grays Harbor-Pacific County Fire Protection District No. 15 Permanent Levy for Emergency Medical Care and Ambulance Service Permanent EMS Levy,Yes,,97,53.2967,Fire
Grays Harbor,Fire District 15 Grays Harbor-Pacific County Fire Protection District No. 15 Permanent Levy for Emergency Medical Care and Ambulance Service Permanent EMS Levy,No,,85,46.7033,Fire
Grays Harbor,Fire District 16 Grays Harbor Fire Protection District No. 16  Excess Levy for Emergency Medical Care and Ambulance Service ,Yes,,119,60.4061,Fire
Grays Harbor,Fire District 16 Grays Harbor Fire Protection District No. 16  Excess Levy for Emergency Medical Care and Ambulance Service ,No,,78,39.5939,Fire
Island,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,,12144,42.3756,State Executive
Island,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,,16514,57.6244,State Executive
Island,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,,16264,56.9149,State Executive
Island,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,,12312,43.0851,State Executive
Island,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,,16474,57.1003,State Executive
Island,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,,12377,42.8997,State Executive
Island,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,,16047,56.0222,State Executive
Island,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,,12597,43.9778,State Executive
Island,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,,14615,53.2908,State Executive
Island,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,,12810,46.7092,State Executive
Island,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),15378,53.5427,Federal
Island,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),13343,46.4573,Federal
Island,Congressional District 2 U.S. Representative,Rick Larsen,(Prefers Democratic Party),18287,68.0877,Congressional
Island,Congressional District 2 U.S. Representative,Brian Luke,(Prefers Libertarian Party),8571,31.9123,Congressional
Island,Legislative District 10 State Representative Pos. 1,Scott McMullen,(Prefers Democratic Party),13876,48.8592,Legislative
Island,Legislative District 10 State Representative Pos. 1,Norma Smith,(Prefers GOP Party),14524,51.1408,Legislative
Island,Legislative District 10 State Representative Pos. 2,Dave Paul,(Prefers Democratic Party),15064,53.2222,Legislative
Island,Legislative District 10 State Representative Pos. 2,Dave Hayes,(Prefers GOP Party),13240,46.7778,Legislative
Island,COUNTY WIDE County Assessor,Mary Wilson-Engle,(Prefers Republican Party),18392,100,County
Island,COUNTY WIDE County Auditor,Sheilah Crider,(Prefers Republican  Party),18324,100,County
Island,COUNTY WIDE County Clerk,Debra Van Pelt,(Prefers Democrat Party),18248,100,County
Island,"COUNTY WIDE County Commissioner, District 3",Rick Hannold,(Prefers Republican Party),13253,46.9282,County
Island,"COUNTY WIDE County Commissioner, District 3",Janet St. Clair,(Prefers Democratic Party),14988,53.0718,County
Island,COUNTY WIDE County Coroner,Robert Bishop,(States No Party Preference),19895,100,County
Island,COUNTY WIDE County Prosecutor,Gregory Banks,(Prefers Democratic Party),17966,100,County
Island,COUNTY WIDE County Sheriff,Rick Felici,(Prefers Republican Party),14359,58.6249,County
Island,COUNTY WIDE County Sheriff,Lane K. Campbell,(Prefers Republican Party),10134,41.3751,County
Island,COUNTY WIDE County Treasurer,Wanda J. Grone,(Prefers Republican Party),18332,100,County
Island,COUNTY WIDE District Court Judge,Bill Hawkins,,16361,100,County
Island,Supreme Court Justice Position 2,Susan Owens,,17716,100,Judicial
Island,Supreme Court Justice Position 8,Nathan Choi,,7783,34.03,Judicial
Island,Supreme Court Justice Position 8,Steve Gonzalez,,15088,65.97,Judicial
Island,Supreme Court Justice Position 9,Sheryl Gordon McCloud,,17110,100,Judicial
Island,"Court of Appeals, Division 1, District 3 Judge Position 1",Tom SeGuine,,11739,50.1474,Judicial
Island,"Court of Appeals, Division 1, District 3 Judge Position 1",Cecily Hazelrigg-Hernandez,,11670,49.8526,Judicial
Island,"NO WHIDBEY POOL, PK AND REC North Whidbey Pool, Park and Recreation District Maintenance and Operations Levy",Yes,,6084,61.6226,Park and Recreation
Island,"NO WHIDBEY POOL, PK AND REC North Whidbey Pool, Park and Recreation District Maintenance and Operations Levy",No,,3789,38.3774,Park and Recreation
Island,PUD NO 1 Commissioner District 1,Sidney (Sid) Logan,,3014,59.1909,Public Utility
Island,PUD NO 1 Commissioner District 1,Mary Rollins,,2078,40.8091,Public Utility
Island,PUD NO 1 Commissioner District 2,Rebecca Wolfe,,2602,50.7707,Public Utility
Island,PUD NO 1 Commissioner District 2,David Chan,,2523,49.2293,Public Utility
Jefferson,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,,10017,56.986,State Executive
Jefferson,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,,7561,43.014,State Executive
Jefferson,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,,7912,44.5621,State Executive
Jefferson,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,,9843,55.4379,State Executive
Jefferson,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,,12301,68.8399,State Executive
Jefferson,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,,5568,31.1601,State Executive
Jefferson,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,,12378,69.5237,State Executive
Jefferson,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,,5426,30.4763,State Executive
Jefferson,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,,6748,39.3699,State Executive
Jefferson,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,,10392,60.6301,State Executive
Jefferson,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),12322,69.1587,Federal
Jefferson,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),5495,30.8413,Federal
Jefferson,Congressional District 6 U.S. Representative,Derek Kilmer,(Prefers Democratic Party),12905,72.9467,Congressional
Jefferson,Congressional District 6 U.S. Representative,Douglas Dightman,(Prefers Republican Party),4786,27.0533,Congressional
Jefferson,Legislative District 24 State Representative Pos. 1,Mike Chapman,(Prefers Democratic Party),12346,69.949,Legislative
Jefferson,Legislative District 24 State Representative Pos. 1,Jodi Wilke,(Prefers Republican Party),5304,30.051,Legislative
Jefferson,Legislative District 24 State Representative Pos. 2,Steve Tharinger,(Prefers Democratic Party),12173,69.3737,Legislative
Jefferson,Legislative District 24 State Representative Pos. 2,Jim McEntire,(Prefers Republican Party),5374,30.6263,Legislative
Jefferson,County of Jefferson Assessor,Jeff Chapman,(Prefers Democratic Party),13097,100,County
Jefferson,County of Jefferson Auditor,Rose Ann Carroll,(Prefers Democratic Party),13106,100,County
Jefferson,County of Jefferson Clerk,Ruth Gordon,(Prefers Democratic Party),13127,100,County
Jefferson,"County of Jefferson Commissioner, District 3",Jon Cooke,(Prefers Republican Party),5458,31.5473,County
Jefferson,"County of Jefferson Commissioner, District 3",Greg Brotherton,(Prefers Democratic Party),11843,68.4527,County
Jefferson,County of Jefferson Prosecutor and Coroner,James M. Kennedy,(Prefers Democratic Party),8801,59.7407,County
Jefferson,County of Jefferson Prosecutor and Coroner,Michael Haas,(Prefers Democratic Party),5931,40.2593,County
Jefferson,County of Jefferson Sheriff,Joe Nole,(Prefers Democratic Party),10609,61.6623,County
Jefferson,County of Jefferson Sheriff,David Stanko,(States No Party Preference),6596,38.3377,County
Jefferson,County of Jefferson Treasurer,Stacie Prada,(Prefers Democratic Party),12846,100,County
Jefferson,Supreme Court Justice Position 2,Susan Owens,,12377,100,Judicial
Jefferson,Supreme Court Justice Position 8,Nathan Choi,,3522,24.4244,Judicial
Jefferson,Supreme Court Justice Position 8,Steve Gonzalez,,10898,75.5756,Judicial
Jefferson,Supreme Court Justice Position 9,Sheryl Gordon McCloud,,12073,100,Judicial
Jefferson,"Court of Appeals, Division 2, District 2 Judge Position 2",Rebecca Glasgow,,11964,100,Judicial
Jefferson,District Court Judge Position No. 1,Noah Harrison,,6572,41.8412,Judicial
Jefferson,District Court Judge Position No. 1,Mindy Walker,,9135,58.1588,Judicial
Jefferson,"Public Utility District Commissioner, District 3",Daniel Toepper,,7615,50.0164,Public Utility
Jefferson,"Public Utility District Commissioner, District 3",Tom Brotherton,,7610,49.9836,Public Utility
Jefferson,Port Townsend School District No. 50 Proposition No. 1 Dissolve and reapportion director districts,Yes,,6699,84.2854,School
Jefferson,Port Townsend School District No. 50 Proposition No. 1 Dissolve and reapportion director districts,No,,1249,15.7146,School
Jefferson,Clallam - Jefferson Fire Protection District No. 3 Proposition No. 1: MULTIPLE YEAR LEVY LID LIFT Multiple Year Levy Lid Lift,Yes,,139,53.668,Fire
Jefferson,Clallam - Jefferson Fire Protection District No. 3 Proposition No. 1: MULTIPLE YEAR LEVY LID LIFT Multiple Year Levy Lid Lift,No,,120,46.332,Fire
King,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,,374190,57.3207,State Executive
King,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,,278611,42.6793,State Executive
King,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,,290037,44.6936,State Executive
King,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,,358908,55.3064,State Executive
King,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,,501492,76.5099,State Executive
King,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,,153968,23.4901,State Executive
King,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,,462071,70.9692,State Executive
King,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,,189016,29.0308,State Executive
King,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,,242258,39.046,State Executive
King,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,,378185,60.954,State Executive
King,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),482410,73.7068,Federal
King,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),172089,26.2932,Federal
King,Congressional District 1 U.S. Representative,Suzan DelBene,(Prefers Democratic Party),62931,69.1618,Congressional
King,Congressional District 1 U.S. Representative,Jeffrey Beeler,(Prefers Republican Party),28060,30.8382,Congressional
King,Congressional District 7 U.S. Representative,Pramila Jayapal,(Prefers Democratic Party),212533,84.526,Congressional
King,Congressional District 7 U.S. Representative,Craig Keller,(Prefers Republican Party),38908,15.474,Congressional
King,Congressional District 8 U.S. Representative,Dino Rossi,(Prefers GOP Party),55524,42.0633,Congressional
King,Congressional District 8 U.S. Representative,Kim Schrier,(Prefers Democratic Party),76477,57.9367,Congressional
King,Congressional District 9 U.S. Representative,Adam Smith,(Prefers Democratic Party),109079,70.0329,Congressional
King,Congressional District 9 U.S. Representative,Sarah Smith,(Prefers Democratic Party),46675,29.9671,Congressional
King,Legislative District 1 State Representative Pos. 1,Derek Stanford,(Prefers Democratic Party),9948,72.7352,Legislative
King,Legislative District 1 State Representative Pos. 1,Josh Colver,(Prefers Republican Party),3729,27.2648,Legislative
King,Legislative District 1 State Representative Pos. 2,Shelley Kloba,(Prefers Democratic Party),9250,67.5182,Legislative
King,Legislative District 1 State Representative Pos. 2,Debra Blodgett,(Prefers Republican Party),4450,32.4818,Legislative
King,Legislative District 5 State Representative Pos. 1,Bill Ramos,(Prefers Democratic Party),28260,52.4791,Legislative
King,Legislative District 5 State Representative Pos. 1,Chad Magendanz,(Prefers Republican Party),25590,47.5209,Legislative
King,Legislative District 5 State Representative Pos. 2,Lisa Callan,(Prefers Democratic Party),28499,53.1232,Legislative
King,Legislative District 5 State Representative Pos. 2,Paul Graves,(Prefers Republican Party),25148,46.8768,Legislative
King,Legislative District 11 State Representative Pos. 1,Zack Hudgins,(Prefers Democratic Party),24108,100,Legislative
King,Legislative District 11 State Representative Pos. 2,Steve Bergquist,(Prefers Democratic Party),24089,100,Legislative
King,Legislative District 30 State Senator,Mark Miloscia,(Prefers Republican Party),14301,46.6971,Legislative
King,Legislative District 30 State Senator,Claire Wilson,(Prefers Democratic Party),16324,53.3029,Legislative
King,Legislative District 30 State Representative Pos. 1,Mike Pellicciotti,(Prefers Democratic Party),18347,60.2509,Legislative
King,Legislative District 30 State Representative Pos. 1,Linda Kochmar,(Prefers GOP Party),12104,39.7491,Legislative
King,Legislative District 30 State Representative Pos. 2,Kristine M. Reeves,(Prefers Democratic Party),19009,63.069,Legislative
King,Legislative District 30 State Representative Pos. 2,Mark Greene,(Prefers G.O.P. Party),11131,36.931,Legislative
King,Legislative District 31 State Senator,Phil Fortunato,(Prefers Republican Party),7780,58.1726,Legislative
King,Legislative District 31 State Senator,Immaculate Ferreria,(Prefers Democratic Party),5594,41.8274,Legislative
King,Legislative District 31 State Representative Pos. 1,Drew Stokesbary,(Prefers Republican Party),7633,57.4774,Legislative
King,Legislative District 31 State Representative Pos. 1,Victoria Mena,(Prefers Democratic Party),5647,42.5226,Legislative
King,Legislative District 31 State Representative Pos. 2,Morgan Irwin,(Prefers Republican Party),7589,57.3317,Legislative
King,Legislative District 31 State Representative Pos. 2,Mark Boswell,(Prefers Democratic Party),5648,42.6683,Legislative
King,Legislative District 32 State Senator,Jesse Salomon,(Prefers Democratic Party),16182,70.0701,Legislative
King,Legislative District 32 State Senator,Maralyn Chase,(Prefers Democratic Party),6912,29.9299,Legislative
King,Legislative District 32 State Representative Pos. 1,Cindy Ryu,(Prefers Democratic Party),20112,80.6965,Legislative
King,Legislative District 32 State Representative Pos. 1,Diodato (Dio) Boucsieguez,(Prefers Republican Party),4811,19.3035,Legislative
King,Legislative District 32 State Representative Pos. 2,Lauren Davis,(Prefers Democratic Party),19636,79.0945,Legislative
King,Legislative District 32 State Representative Pos. 2,Frank Deisler,(Prefers Republican Party),5190,20.9055,Legislative
King,Legislative District 33 State Senator,Karen Keiser,(Prefers Democratic Party),21370,70.6119,Legislative
King,Legislative District 33 State Senator,Kun Wang,(Prefers Ind. Republican Party),8894,29.3881,Legislative
King,Legislative District 33 State Representative Pos. 1,Tina L. Orwall,(Prefers Democratic Party),22869,100,Legislative
King,Legislative District 33 State Representative Pos. 2,Mia Su-Ling Gregerson,(Prefers Democratic Party),19909,66.0858,Legislative
King,Legislative District 33 State Representative Pos. 2,Anthony L. Lamb,(Prefers Republican Party),10217,33.9142,Legislative
King,Legislative District 34 State Senator,Joe Nguyen,(Prefers Democratic Party),27440,57.3902,Legislative
King,Legislative District 34 State Senator,Shannon Braddock,(Prefers Democratic Party),20373,42.6098,Legislative
King,Legislative District 34 State Representative Pos. 1,Eileen L. Cody,(Prefers Democratic Party),39782,100,Legislative
King,Legislative District 34 State Representative Pos. 2,Joe Fitzgibbon,(Prefers Democratic Party),39255,100,Legislative
King,Legislative District 36 State Senator,Reuven M. Carlyle,(Prefers Democratic Party),54688,89.6378,Legislative
King,Legislative District 36 State Senator,Bryan Simonson,(Prefers Libertarian Party),6322,10.3622,Legislative
King,Legislative District 36 State Representative Pos. 1,Noel Christina Frame,(Prefers Democratic Party),53878,89.1961,Legislative
King,Legislative District 36 State Representative Pos. 1,Sydney Gillman Wissel,(Prefers Libertarian Party),6526,10.8039,Legislative
King,Legislative District 36 State Representative Pos. 2,Gael Tarleton,(Prefers Democratic Party),52609,87.0074,Legislative
King,Legislative District 36 State Representative Pos. 2,Matt Dubin,(Prefers Libertarian Party),7856,12.9926,Legislative
King,Legislative District 37 State Senator,Rebecca Saldana,(Prefers Democratic Party),37634,88.7594,Legislative
King,Legislative District 37 State Senator,Beth Broadway,(Prefers Republican Party),4766,11.2406,Legislative
King,Legislative District 37 State Representative Pos. 1,Sharon Tomiko Santos,(Prefers Democratic Party),35820,100,Legislative
King,Legislative District 37 State Representative Pos. 2,Eric Pettigrew,(Prefers Democratic Party),36423,88.9842,Legislative
King,Legislative District 37 State Representative Pos. 2,Tamra Smilanich,(Prefers Independent Party),4509,11.0158,Legislative
King,Legislative District 39 State Senator,Claus Joens,(Prefers Democratic Party),99,52.381,Legislative
King,Legislative District 39 State Senator,Keith L. Wagoner,(Prefers Republican Party),90,47.619,Legislative
King,Legislative District 39 State Representative Pos. 1,Ivan Lewis,(Prefers Democratic Party),103,55.0802,Legislative
King,Legislative District 39 State Representative Pos. 1,Robert J. Sutherland,(Prefers Republican Party),84,44.9198,Legislative
King,Legislative District 39 State Representative Pos. 2,Carolyn Eslick,(Prefers Republican Party),104,54.7368,Legislative
King,Legislative District 39 State Representative Pos. 2,Eric Halvorson,(Prefers Democratic Party),86,45.2632,Legislative
King,Legislative District 41 State Representative Pos. 1,Tana Senn,(Prefers Democratic Party),32433,65.343,Legislative
King,Legislative District 41 State Representative Pos. 1,Tim Cruickshank,(Prefers Republican Party),17202,34.657,Legislative
King,Legislative District 41 State Representative Pos. 2,My-Linh Thai,(Prefers Democratic Party),32399,65.4856,Legislative
King,Legislative District 41 State Representative Pos. 2,Michael Appleby,(Prefers Republican Party),17076,34.5144,Legislative
King,Legislative District 43 State Senator,Jamie Pedersen,(Prefers Democratic Party),50594,90.6995,Legislative
King,Legislative District 43 State Senator,Dan Harder,(Prefers Republican Party),5188,9.3005,Legislative
King,Legislative District 43 State Representative Pos. 1,Nicole Macri,(Prefers Democratic Party),50724,91.0942,Legislative
King,Legislative District 43 State Representative Pos. 1,John Peeples,(Prefers Republican Party),4959,8.9058,Legislative
King,Legislative District 43 State Representative Pos. 2,Frank Chopp,(Prefers Democratic Party),49680,89.6929,Legislative
King,Legislative District 43 State Representative Pos. 2,Claire Torstenbo,(Prefers Republican Party),5709,10.3071,Legislative
King,Legislative District 45 State Senator,Manka Dhingra,(Prefers Democratic Party),31492,63.6485,Legislative
King,Legislative District 45 State Senator,Dale Fonk,(Prefers Republican Party),17986,36.3515,Legislative
King,Legislative District 45 State Representative Pos. 1,Roger Goodman,(Prefers Democratic Party),33108,67.3625,Legislative
