race name,county,precincts reporting,candidate,votes
U.S. Senator,Cochise,100.00%,"Sinema, Kyrsten (DEM)","16,736"
U.S. Senator,Cochise,100.00%,TOTAL,"44,035"
U.S. Senator,Coconino,100.00%,"Green, Angela (GRN)","1,363"
U.S. Senator,Coconino,100.00%,"McSally, Martha (REP)","15,906"
U.S. Senator,Coconino,100.00%,"Sinema, Kyrsten (DEM)","27,874"
U.S. Senator,Coconino,100.00%,TOTAL,"45,143"
U.S. Senator,Gila,100.00%,"Green, Angela (GRN)",650
U.S. Senator,Gila,100.00%,"McSally, Martha (REP)","11,834"
U.S. Senator,Gila,100.00%,"Sinema, Kyrsten (DEM)","7,396"
U.S. Senator,Gila,100.00%,TOTAL,"19,880"
U.S. Senator,Graham,100.00%,"Green, Angela (GRN)",363
U.S. Senator,Graham,100.00%,"McSally, Martha (REP)","6,870"
U.S. Senator,Graham,100.00%,"Sinema, Kyrsten (DEM)","3,368"
U.S. Senator,Graham,100.00%,TOTAL,"10,601"
U.S. Senator,Greenlee,100.00%,"Green, Angela (GRN)",108
U.S. Senator,Greenlee,100.00%,"McSally, Martha (REP)","1,416"
U.S. Senator,Greenlee,100.00%,"Sinema, Kyrsten (DEM)","1,042"
U.S. Senator,Greenlee,100.00%,TOTAL,"2,566"
U.S. Senator,LaPaz,100.00%,"Green, Angela (GRN)",166
U.S. Senator,LaPaz,100.00%,"McSally, Martha (REP)","2,905"
U.S. Senator,LaPaz,100.00%,"Sinema, Kyrsten (DEM)","1,455"
U.S. Senator,LaPaz,100.00%,TOTAL,"4,526"
U.S. Senator,Maricopa,99.73%,"Green, Angela (GRN)","23,472"
U.S. Senator,Maricopa,99.73%,"McSally, Martha (REP)","523,881"
U.S. Senator,Maricopa,99.73%,"Sinema, Kyrsten (DEM)","551,581"
U.S. Senator,Maricopa,99.73%,TOTAL,"1,098,934"
U.S. Senator,Mohave,100.00%,"Green, Angela (GRN)","1,806"
U.S. Senator,Mohave,100.00%,"McSally, Martha (REP)","45,809"
U.S. Senator,Mohave,100.00%,"Sinema, Kyrsten (DEM)","17,462"
U.S. Senator,Mohave,100.00%,TOTAL,"65,077"
U.S. Senator,Navajo,100.00%,"Green, Angela (GRN)","1,119"
U.S. Senator,Navajo,100.00%,"McSally, Martha (REP)","16,798"
U.S. Senator,Navajo,100.00%,"Sinema, Kyrsten (DEM)","15,354"
U.S. Senator,Navajo,100.00%,TOTAL,"33,271"
U.S. Senator,Pima,99.20%,"Green, Angela (GRN)","6,800"
U.S. Senator,Pima,99.20%,"McSally, Martha (REP)","137,412"
U.S. Senator,Pima,99.20%,"Sinema, Kyrsten (DEM)","181,696"
U.S. Senator,Pima,99.20%,TOTAL,"325,908"
U.S. Senator,Pinal,99.02%,"Green, Angela (GRN)","2,086"
U.S. Senator,Pinal,99.02%,"McSally, Martha (REP)","46,804"
U.S. Senator,Pinal,99.02%,"Sinema, Kyrsten (DEM)","34,924"
U.S. Senator,Pinal,99.02%,TOTAL,"83,814"
U.S. Senator,SantaCruz,100.00%,"Green, Angela (GRN)",389
U.S. Senator,SantaCruz,100.00%,"McSally, Martha (REP)","3,627"
U.S. Senator,SantaCruz,100.00%,"Sinema, Kyrsten (DEM)","8,561"
U.S. Senator,SantaCruz,100.00%,TOTAL,"12,577"
U.S. Senator,Yavapai,100.00%,"Green, Angela (GRN)","2,694"
U.S. Senator,Yavapai,100.00%,"McSally, Martha (REP)","61,987"
U.S. Senator,Yavapai,100.00%,"Sinema, Kyrsten (DEM)","37,853"
U.S. Senator,Yavapai,100.00%,TOTAL,"102,534"
U.S. Senator,Yuma,97.73%,"Green, Angela (GRN)","1,214"
U.S. Senator,Yuma,97.73%,"McSally, Martha (REP)","20,966"
U.S. Senator,Yuma,97.73%,"Sinema, Kyrsten (DEM)","17,526"
U.S. Senator,Yuma,97.73%,TOTAL,"39,706"
U.S. Senator,TOTAL,  ,"Green, Angela (GRN)","44,328"
U.S. Senator,TOTAL,  ,"McSally, Martha (REP)","930,134"
U.S. Senator,TOTAL,  ,"Sinema, Kyrsten (DEM)","938,976"
U.S. Senator,TOTAL,  ,TOTAL,"1,913,438"
U.S. Representative in Congress - District No. 1,Apache,100.00%,"O'Halleran, Tom (DEM)","16,747"
U.S. Representative in Congress - District No. 1,Apache,100.00%,"Rogers, Wendy (REP)","8,025"
U.S. Representative in Congress - District No. 1,Apache,100.00%,TOTAL,"24,772"
U.S. Representative in Congress - District No. 1,Coconino,100.00%,"O'Halleran, Tom (DEM)","29,134"
U.S. Representative in Congress - District No. 1,Coconino,100.00%,"Rogers, Wendy (REP)","15,561"
U.S. Representative in Congress - District No. 1,Coconino,100.00%,TOTAL,"44,695"
U.S. Representative in Congress - District No. 1,Gila,100.00%,"O'Halleran, Tom (DEM)","3,846"
U.S. Representative in Congress - District No. 1,Gila,100.00%,"Rogers, Wendy (REP)","2,688"
U.S. Representative in Congress - District No. 1,Gila,100.00%,TOTAL,"6,534"
U.S. Representative in Congress - District No. 1,Graham,100.00%,"O'Halleran, Tom (DEM)","3,658"
U.S. Representative in Congress - District No. 1,Graham,100.00%,"Rogers, Wendy (REP)","6,886"
U.S. Representative in Congress - District No. 1,Graham,100.00%,TOTAL,"10,544"
U.S. Representative in Congress - District No. 1,Greenlee,100.00%,"O'Halleran, Tom (DEM)","1,160"
U.S. Representative in Congress - District No. 1,Greenlee,100.00%,"Rogers, Wendy (REP)","1,379"
U.S. Representative in Congress - District No. 1,Greenlee,100.00%,TOTAL,"2,539"
U.S. Representative in Congress - District No. 1,Maricopa,100.00%,"O'Halleran, Tom (DEM)",250
U.S. Representative in Congress - District No. 1,Maricopa,100.00%,"Rogers, Wendy (REP)",40
U.S. Representative in Congress - District No. 1,Maricopa,100.00%,TOTAL,290
U.S. Representative in Congress - District No. 1,Mohave,100.00%,"O'Halleran, Tom (DEM)",150
U.S. Representative in Congress - District No. 1,Mohave,100.00%,"Rogers, Wendy (REP)",66
U.S. Representative in Congress - District No. 1,Mohave,100.00%,TOTAL,216
U.S. Representative in Congress - District No. 1,Navajo,100.00%,"O'Halleran, Tom (DEM)","16,627"
U.S. Representative in Congress - District No. 1,Navajo,100.00%,"Rogers, Wendy (REP)","16,409"
U.S. Representative in Congress - District No. 1,Navajo,100.00%,TOTAL,"33,036"
U.S. Representative in Congress - District No. 1,Pima,100.00%,"O'Halleran, Tom (DEM)","21,103"
U.S. Representative in Congress - District No. 1,Pima,100.00%,"Rogers, Wendy (REP)","24,838"
U.S. Representative in Congress - District No. 1,Pima,100.00%,TOTAL,"45,941"
U.S. Representative in Congress - District No. 1,Pinal,98.33%,"O'Halleran, Tom (DEM)","20,927"
U.S. Representative in Congress - District No. 1,Pinal,98.33%,"Rogers, Wendy (REP)","22,657"
U.S. Representative in Congress - District No. 1,Pinal,98.33%,TOTAL,"43,584"
U.S. Representative in Congress - District No. 1,Yavapai,100.00%,"O'Halleran, Tom (DEM)","7,522"
U.S. Representative in Congress - District No. 1,Yavapai,100.00%,"Rogers, Wendy (REP)","6,687"
U.S. Representative in Congress - District No. 1,Yavapai,100.00%,TOTAL,"14,209"
U.S. Representative in Congress - District No. 1,TOTAL,  ,"O'Halleran, Tom (DEM)","121,124"
U.S. Representative in Congress - District No. 1,TOTAL,  ,"Rogers, Wendy (REP)","105,236"
U.S. Representative in Congress - District No. 1,TOTAL,  ,TOTAL,"226,360"
U.S. Representative in Congress - District No. 2,Cochise,100.00%,"Kirkpatrick, Ann (DEM)","17,825"
U.S. Representative in Congress - District No. 2,Cochise,100.00%,"Marquez Peterson, Lea (REP)","25,436"
U.S. Representative in Congress - District No. 2,Cochise,100.00%,TOTAL,"43,261"
U.S. Representative in Congress - District No. 2,Pima,98.63%,"Kirkpatrick, Ann (DEM)","119,026"
U.S. Representative in Congress - District No. 2,Pima,98.63%,"Marquez Peterson, Lea (REP)","91,831"
U.S. Representative in Congress - District No. 2,Pima,98.63%,TOTAL,"210,857"
U.S. Representative in Congress - District No. 2,TOTAL,  ,"Kirkpatrick, Ann (DEM)","136,851"
U.S. Representative in Congress - District No. 2,TOTAL,  ,"Marquez Peterson, Lea (REP)","117,267"
U.S. Representative in Congress - District No. 2,TOTAL,  ,TOTAL,"254,118"
U.S. Representative in Congress - District No. 3,Maricopa,100.00%,"Grijalva, Raúl (DEM)","24,230"
U.S. Representative in Congress - District No. 3,Maricopa,100.00%,"Pierson, Nicolas ""Nick"" (REP)","19,662"
U.S. Representative in Congress - District No. 3,Maricopa,100.00%,TOTAL,"43,892"
U.S. Representative in Congress - District No. 3,Pima,100.00%,"Grijalva, Raúl (DEM)","42,940"
U.S. Representative in Congress - District No. 3,Pima,100.00%,"Pierson, Nicolas ""Nick"" (REP)","21,475"
U.S. Representative in Congress - District No. 3,Pima,100.00%,TOTAL,"64,415"
U.S. Representative in Congress - District No. 3,Pinal,100.00%,"Grijalva, Raúl (DEM)",73
U.S. Representative in Congress - District No. 3,Pinal,100.00%,"Pierson, Nicolas ""Nick"" (REP)",3
U.S. Representative in Congress - District No. 3,Pinal,100.00%,TOTAL,76
U.S. Representative in Congress - District No. 3,SantaCruz,100.00%,"Grijalva, Raúl (DEM)","8,426"
U.S. Representative in Congress - District No. 3,SantaCruz,100.00%,"Pierson, Nicolas ""Nick"" (REP)","4,089"
U.S. Representative in Congress - District No. 3,SantaCruz,100.00%,TOTAL,"12,515"
U.S. Representative in Congress - District No. 3,Yuma,96.55%,"Grijalva, Raúl (DEM)","12,488"
U.S. Representative in Congress - District No. 3,Yuma,96.55%,"Pierson, Nicolas ""Nick"" (REP)","8,549"
U.S. Representative in Congress - District No. 3,Yuma,96.55%,TOTAL,"21,037"
U.S. Representative in Congress - District No. 3,TOTAL,  ,"Grijalva, Raúl (DEM)","88,157"
U.S. Representative in Congress - District No. 3,TOTAL,  ,"Pierson, Nicolas ""Nick"" (REP)","53,778"
U.S. Representative in Congress - District No. 3,TOTAL,  ,TOTAL,"141,935"
U.S. Representative in Congress - District No. 4,Gila,100.00%,"Brill, David (DEM)","3,438"
U.S. Representative in Congress - District No. 4,Gila,100.00%,"Gosar, Paul (REP)","9,568"
U.S. Representative in Congress - District No. 4,Gila,100.00%,"Knauer, Haryaksha Gregor (GRN)",159
U.S. Representative in Congress - District No. 4,Gila,100.00%,TOTAL,"13,165"
U.S. Representative in Congress - District No. 4,LaPaz,100.00%,"Brill, David (DEM)","1,261"
U.S. Representative in Congress - District No. 4,LaPaz,100.00%,"Gosar, Paul (REP)","3,146"
U.S. Representative in Congress - District No. 4,LaPaz,100.00%,"Knauer, Haryaksha Gregor (GRN)",69
U.S. Representative in Congress - District No. 4,LaPaz,100.00%,TOTAL,"4,476"
U.S. Representative in Congress - District No. 4,Maricopa,100.00%,"Brill, David (DEM)","5,360"
U.S. Representative in Congress - District No. 4,Maricopa,100.00%,"Gosar, Paul (REP)","11,958"
U.S. Representative in Congress - District No. 4,Maricopa,100.00%,"Knauer, Haryaksha Gregor (GRN)",192
U.S. Representative in Congress - District No. 4,Maricopa,100.00%,TOTAL,"17,510"
U.S. Representative in Congress - District No. 4,Mohave,100.00%,"Brill, David (DEM)","15,348"
U.S. Representative in Congress - District No. 4,Mohave,100.00%,"Gosar, Paul (REP)","47,887"
U.S. Representative in Congress - District No. 4,Mohave,100.00%,"Knauer, Haryaksha Gregor (GRN)",873
U.S. Representative in Congress - District No. 4,Mohave,100.00%,TOTAL,"64,108"
U.S. Representative in Congress - District No. 4,Pinal,100.00%,"Brill, David (DEM)","13,581"
U.S. Representative in Congress - District No. 4,Pinal,100.00%,"Gosar, Paul (REP)","25,187"
U.S. Representative in Congress - District No. 4,Pinal,100.00%,"Knauer, Haryaksha Gregor (GRN)",508
U.S. Representative in Congress - District No. 4,Pinal,100.00%,TOTAL,"39,276"
U.S. Representative in Congress - District No. 4,Yavapai,100.00%,"Brill, David (DEM)","29,083"
U.S. Representative in Congress - District No. 4,Yavapai,100.00%,"Gosar, Paul (REP)","57,185"
U.S. Representative in Congress - District No. 4,Yavapai,100.00%,"Knauer, Haryaksha Gregor (GRN)","1,124"
U.S. Representative in Congress - District No. 4,Yavapai,100.00%,TOTAL,"87,392"
U.S. Representative in Congress - District No. 4,Yuma,100.00%,"Brill, David (DEM)","5,384"
U.S. Representative in Congress - District No. 4,Yuma,100.00%,"Gosar, Paul (REP)","12,849"
U.S. Representative in Congress - District No. 4,Yuma,100.00%,"Knauer, Haryaksha Gregor (GRN)",199
U.S. Representative in Congress - District No. 4,Yuma,100.00%,TOTAL,"18,432"
U.S. Representative in Congress - District No. 4,TOTAL,  ,"Brill, David (DEM)","73,455"
U.S. Representative in Congress - District No. 4,TOTAL,  ,"Gosar, Paul (REP)","167,780"
U.S. Representative in Congress - District No. 4,TOTAL,  ,"Knauer, Haryaksha Gregor (GRN)","3,124"
U.S. Representative in Congress - District No. 4,TOTAL,  ,TOTAL,"244,359"
U.S. Representative in Congress - District No. 5,Maricopa,100.00%,"Biggs, Andy (REP)","141,432"
U.S. Representative in Congress - District No. 5,Maricopa,100.00%,"Greene, Joan (DEM)","96,758"
U.S. Representative in Congress - District No. 5,Maricopa,100.00%,TOTAL,"238,190"
U.S. Representative in Congress - District No. 5,TOTAL,  ,"Biggs, Andy (REP)","141,432"
U.S. Representative in Congress - District No. 5,TOTAL,  ,"Greene, Joan (DEM)","96,758"
U.S. Representative in Congress - District No. 5,TOTAL,  ,TOTAL,"238,190"
U.S. Representative in Congress - District No. 6,Maricopa,100.00%,"Malik, Anita (DEM)","108,849"
U.S. Representative in Congress - District No. 6,Maricopa,100.00%,"Schweikert, David (REP)","136,813"
U.S. Representative in Congress - District No. 6,Maricopa,100.00%,TOTAL,"245,662"
U.S. Representative in Congress - District No. 6,TOTAL,  ,"Malik, Anita (DEM)","108,849"
U.S. Representative in Congress - District No. 6,TOTAL,  ,"Schweikert, David (REP)","136,813"
U.S. Representative in Congress - District No. 6,TOTAL,  ,TOTAL,"245,662"
U.S. Representative in Congress - District No. 7,Maricopa,100.00%,"Gallego, Ruben (DEM)","78,804"
U.S. Representative in Congress - District No. 7,Maricopa,100.00%,"Swing, Gary (GRN)","14,193"
U.S. Representative in Congress - District No. 7,Maricopa,100.00%,TOTAL,"92,997"
U.S. Representative in Congress - District No. 7,TOTAL,  ,"Gallego, Ruben (DEM)","78,804"
U.S. Representative in Congress - District No. 7,TOTAL,  ,"Swing, Gary (GRN)","14,193"
U.S. Representative in Congress - District No. 7,TOTAL,  ,TOTAL,"92,997"
U.S. Representative in Congress - District No. 8,Maricopa,100.00%,"Lesko, Debbie (REP)","135,180"
U.S. Representative in Congress - District No. 8,Maricopa,100.00%,"Tipirneni, Hiral (DEM)","106,361"
U.S. Representative in Congress - District No. 8,Maricopa,100.00%,TOTAL,"241,541"
U.S. Representative in Congress - District No. 8,TOTAL,  ,"Lesko, Debbie (REP)","135,180"
U.S. Representative in Congress - District No. 8,TOTAL,  ,"Tipirneni, Hiral (DEM)","106,361"
U.S. Representative in Congress - District No. 8,TOTAL,  ,TOTAL,"241,541"
U.S. Representative in Congress - District No. 9,Maricopa,98.57%,"Ferrara, Stephen L (REP)","77,483"
U.S. Representative in Congress - District No. 9,Maricopa,98.57%,"Stanton, Greg (DEM)","118,144"
U.S. Representative in Congress - District No. 9,Maricopa,98.57%,TOTAL,"195,627"
U.S. Representative in Congress - District No. 9,TOTAL,  ,"Ferrara, Stephen L (REP)","77,483"
U.S. Representative in Congress - District No. 9,TOTAL,  ,"Stanton, Greg (DEM)","118,144"
U.S. Representative in Congress - District No. 9,TOTAL,  ,TOTAL,"195,627"
